variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,2968000,contextual_point,9,367,2023-11-03,0.9765034893267652,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,10.0,log1p,10,367,0.9255969485495348,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,25.0
raw,2968000,contextual_point,10,337,2023-10-04,0.9742610837438423,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0,log1p,29,337,0.8335454296661193,5,0,dp;zms;units;isolation_forest;calf,,1,zms,21.0
raw,2968000,contextual_point,11,596,2024-06-19,0.9663382594417076,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,14.0,log1p,2,596,0.992337164750958,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,2.0
raw,2968000,contextual_point,12,539,2024-04-23,0.96137794198139,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,14.0,log1p,24,539,0.8505832649151615,5,0,dp;zms;units;isolation_forest;calf,,2,zms;isolation_forest,34.0
raw,2968000,contextual_point,13,398,2023-12-04,0.960767309797482,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,13.0,log1p,5,398,0.9708162287903668,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0
raw,2968000,contextual_point,14,323,2023-09-20,0.9460813492063492,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,12.0,log1p,50,323,0.7752599890530926,5,0,dp;zms;units;isolation_forest;calf,,1,units,7.0
raw,2968000,contextual_point,16,486,2024-03-01,0.9393079501915708,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,21.0,log1p,38,486,0.7973419540229886,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,17.0
raw,2968000,contextual_point,18,580,2024-06-03,0.9337712096332784,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,29.0,log1p,3,580,0.9863163656267104,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,6.0
raw,2968000,contextual_point,19,479,2024-02-23,0.927726464148878,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,31.0,log1p,44,479,0.7840329091406677,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,2968000,contextual_point,20,490,2024-03-05,0.9276323891625616,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,11.0,log1p,43,490,0.7850643130815544,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,39.0
raw,2968000,contextual_point,27,475,2024-02-19,0.8998477695675972,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,31.0,log1p,9,475,0.9577175697865352,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,11.0
raw,2968000,contextual_point,29,97,2023-02-06,0.8787441844553914,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,40.0,log1p,19,97,0.865715654077723,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,13.0
raw,2968000,contextual_point,31,113,2023-02-22,0.8748306650246306,5,0,dp;zms;units;isolation_forest;calf,,1,zms,50.0,log1p,48,113,0.7801809660645868,5,0,dp;zms;units;isolation_forest;calf,,1,calf,42.0
raw,2968000,contextual_point,33,482,2024-02-26,0.8726156267104542,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,35.0,log1p,46,482,0.782512315270936,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,12.0
raw,2968000,contextual_point,35,279,2023-08-07,0.8638717843459223,5,0,dp;zms;units;isolation_forest;calf,,1,zms,44.0,log1p,13,279,0.8972872194854954,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,17.0
raw,2968000,contextual_point,43,400,2023-12-06,0.8463567323481117,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,21.0,log1p,37,400,0.8009356185002737,5,0,dp;zms;units;isolation_forest;calf,,2,isolation_forest;calf,41.0
raw,2968000,contextual_point,45,380,2023-11-16,0.8415298303229338,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,31.0,log1p,42,380,0.7902606732348112,5,0,dp;zms;units;isolation_forest;calf,,1,calf,10.0
